City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
144,Mantua,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
145,Talnakh,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
146,Buala,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
147,Buriti Bravo,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
148,Kruisfontein,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
149,Cayenne,AR,2021-09-12 23:04:20,-34.6515,-59.4307,68.85,92,57,8.41
150,Lamu,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
151,Wilmington,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
152,Ahuimanu,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
153,Revelstoke,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
154,Dire Dawa,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
155,Victoria,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
156,Suez,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
157,Ilulissat,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
158,Tromso,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
159,Gazli,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
160,Deputatskiy,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
161,Ituni,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
162,Asau,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
163,Amahai,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
164,Pouebo,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
165,Okhotsk,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
166,Praya,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
167,Wulanhaote,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
168,Komsomolskiy,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
169,Bay Roberts,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
170,Hofn,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
171,Llanes,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
172,Khasan,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
173,Karkaralinsk,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
174,Dumai,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
175,Calama,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
176,Fortuna,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
177,Mahibadhoo,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
178,North Bay,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
179,Bursa,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
180,Pimentel,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
181,Shahr-E Babak,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
182,Algiers,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
183,Hilo,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
184,Taphan Hin,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
185,Kamaishi,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
186,Sao Joao Da Barra,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
187,Buraydah,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
188,Menongue,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
189,Illoqqortoormiut,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
190,Severo-Yeniseyskiy,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
191,Beringovskiy,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
192,Vanavara,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
193,Ponta Do Sol,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
194,Svetlaya,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
195,Matola,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
196,Pilane,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
197,Lafia,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
198,Saint-Joseph,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
199,Severo-Kurilsk,KE,2021-09-12 23:04:21,-2.2717,40.902,77.22,78,61,15.82
200,Boddam,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
201,Kamenskoye,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
202,Nguiu,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
203,Rio Gallegos,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
204,Jalu,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
205,Mino,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
206,Finnsnes,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
207,Ambon,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
208,Luau,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
209,Winnemucca,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
210,Oudtshoorn,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
211,Vestmanna,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
212,Katsuura,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
213,Husavik,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
214,Kavieng,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
215,Lorengau,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
216,Pagudpud,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
217,Lumby,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
218,Kulachi,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
219,Tuatapere,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
220,Bambous Virieux,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
221,Dhidhdhoo,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
222,Vardo,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
223,Arlit,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
224,Guerrero Negro,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
225,Markova,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
226,Aras,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
227,Sioux Lookout,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
228,Porangatu,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
229,Boyolangu,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
230,Topeka,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
231,Mehamn,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
232,Iskateley,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
233,Geraldton,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
234,Nouadhibou,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
235,Salalah,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
236,Lompoc,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
237,Warrnambool,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
238,Cidreira,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
239,Svetlogorsk,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
240,Joao Pessoa,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
241,Yayva,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
242,Kenai,GB,2021-09-12 23:04:23,57.4667,-1.7833,54.72,71,100,5.44
