City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
369,Mount Gambier,AU,44.51,light intensity shower rain,-37.8333,140.7667,The Commodore
370,Kumbo,CM,59.11,scattered clouds,6.2,10.6667,Western Inn Resort
372,Bensonville,LR,74.59,light rain,6.4461,-10.6125,Moinga
373,Lidzbark Warminski,PL,46.15,overcast clouds,54.1259,20.5795,Hotel Krasicki
374,Tocopilla,CL,63.54,broken clouds,-22.092,-70.1979,Hotel Galvarino
375,Neiafu,TO,79.48,light rain,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
376,Holsted,DK,54.21,overcast clouds,55.5109,8.9187,Den gamle Kostald Bed & Breakfast
377,Whitianga,NZ,57.02,broken clouds,-36.8333,175.7,Beachside Resort Whitianga
378,Port Hedland,AU,64.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
379,Fairbanks,US,46.31,broken clouds,64.8378,-147.7164,Westmark Fairbanks Hotel & Conference Center
380,Eureka,US,72.68,broken clouds,40.8021,-124.1637,Eureka Inn Trademark By Wyndham
381,Oliveira Do Hospital,PT,59.25,clear sky,40.3618,-7.8601,Casa da Bezerra
382,Phuket,TH,77.22,scattered clouds,8.0,98.25,The Surin
383,Someshwar,IN,76.37,overcast clouds,13.5,75.0667,Kadinamane Homestay
384,Wajid,SO,74.64,scattered clouds,3.8093,43.2471,xamdihotelresturant114
387,Olafsvik,IS,48.4,light rain,64.8945,-23.7142,Hotel Olafsvik
388,Kavaratti,IN,81.45,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
389,Byron Bay,AU,72.05,clear sky,-28.65,153.6167,Backpackers Inn on the Beach
390,Bandarbeyla,SO,79.29,overcast clouds,9.4942,50.8122,JABIR HOTEL
391,Ferzikovo,RU,44.24,light rain,54.5191,36.7567,Gostinitsa
392,Norman Wells,CA,50.04,broken clouds,65.282,-126.8329,Heritage Hotel
393,Freeport,US,78.26,clear sky,40.6576,-73.5832,The Freeport Inn and Marina
394,Husavik,IS,48.11,overcast clouds,66.0449,-17.3389,Bjarnabúð
395,Hoghilag,RO,54.97,scattered clouds,46.2333,24.6167,Casa Elixias
396,Seoul,KR,69.24,clear sky,37.5683,126.9778,롯데호텔 서울
397,Senneterre,CA,68.22,clear sky,48.3835,-77.2328,Motel Senabi
400,Sao Joao Da Barra,BR,75.29,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
401,Asfi,MA,69.31,scattered clouds,32.2994,-9.2372,Hôtel Abda
402,Kaoma,ZM,73.6,clear sky,-14.7833,24.8,KAOMA AIRPORT
403,Korla,CN,72.5,clear sky,41.7597,86.1469,Gulisitan Hotel
